species,acoustic_index,pearson_r,pearson_p,spearman_r,spearman_p,station
Spotted seatrout,ENRf,0.5424857622160568,0.0,0.46281291326745877,7.714883791555228e-231,14M
Spotted seatrout,BGNf,0.5985262950111623,0.0,0.450225481652866,4.621845418478164e-217,14M
Spotted seatrout,SNRf,-0.5433071312224913,0.0,-0.38859028977571275,1.9706842707199558e-157,14M
Spotted seatrout,Hf,-0.6922694202587617,0.0,-0.37973323715853097,7.472309340703192e-150,14M
Spotted seatrout,EAS,-0.2829205037601824,3.408360968302857e-81,-0.327374957776319,1.2291517335471887e-109,14M
Spotted seatrout,ECU,-0.2836784137155884,1.2266901989686504e-81,-0.30362576039676936,7.998777709090363e-94,14M
Spotted seatrout,ECV,-0.23200619253814297,1.8133542822742176e-54,-0.2556763484024006,3.792050343826134e-66,14M
Spotted seatrout,EPS,0.30838886828650486,7.031491711603762e-97,0.3273374831485176,1.3052921938022342e-109,14M
Spotted seatrout,EPS_KURT,0.3688569824046941,7.294797398506885e-141,0.36061660264425177,2.7949886682622663e-134,14M
Spotted seatrout,EPS_SKEW,0.36839717969348224,1.719802071630689e-140,0.36043248458999366,3.901826098387253e-134,14M
Spotted seatrout,ACI,-0.043477568679692935,0.004053014382744806,-0.04987166892079965,0.0009766466427097132,14M
Spotted seatrout,NDSI,-0.6866332470946059,0.0,-0.4084720362694977,2.5682442612633104e-175,14M
Spotted seatrout,rBA,-0.6866332470995373,0.0,-0.4084720362694977,2.5682442612633104e-175,14M
Spotted seatrout,AnthroEnergy,0.5906291870319089,0.0,0.45110454283893087,5.264413650958724e-218,14M
Spotted seatrout,BioEnergy,0.25371809397675893,3.92205517494641e-65,0.3260087274500076,1.0935604840966773e-108,14M
Spotted seatrout,BI,-0.3592244920711055,3.4633589009884194e-133,-0.389175017510684,6.109164419216034e-158,14M
Spotted seatrout,ROU,0.5868727179730371,0.0,0.4632927732740007,2.2416262125185195e-231,14M
Spotted seatrout,ADI,-0.43170949508657985,8.029521768461745e-198,-0.2678839032736501,1.1303574743493266e-72,14M
Spotted seatrout,AEI,0.4034551685658987,1.0935779397838797e-170,0.2620368187210266,1.6677909860287654e-69,14M
Spotted seatrout,LFC,0.09765476386764622,9.950452488415131e-11,0.0817370577270051,6.317331438548884e-08,14M
Spotted seatrout,MFC,0.1891964239055772,1.7530532878277476e-36,0.1434859040255722,1.576783325812078e-21,14M
Spotted seatrout,HFC,0.28181474083404545,1.505087846374662e-80,0.2748175189700125,1.5528122104293197e-76,14M
Spotted seatrout,ACTspFract,0.26677124983263334,4.5963140981308e-72,0.25376544925555883,3.7075021223292116e-65,14M
Spotted seatrout,ACTspCount,0.2666858599818156,5.117309662234651e-72,0.2536332692541814,4.337754164456365e-65,14M
Spotted seatrout,ACTspMean,-0.281299343894711,3.0005257523418138e-80,-0.2893723869054689,5.1281962367462845e-85,14M
Spotted seatrout,EVNspFract,0.1569529661137613,1.7176068061605673e-25,0.1237664793256842,2.229093898887048e-16,14M
Spotted seatrout,EVNspMean,-0.14926426001703108,3.484058933020136e-23,-0.24252158388425363,1.6839669933228915e-59,14M
Spotted seatrout,EVNspCount,0.2309355971829687,5.714243697691719e-54,0.2069813405396037,1.7854113630147404e-43,14M
Spotted seatrout,TFSD,-0.3115785117332384,5.868421537306747e-99,-0.30144999613033924,1.9055180411679483e-92,14M
Spotted seatrout,H_Havrda,-0.45591019994590204,3.268199863527533e-223,-0.3546108845856208,1.3281653617031428e-129,14M
Spotted seatrout,H_Renyi,-0.6539642021793223,0.0,-0.3548214636318604,9.140639387966522e-130,14M
Spotted seatrout,H_pairedShannon,-0.6910093253098928,0.0,-0.3794567997295918,1.2771315010387415e-149,14M
Spotted seatrout,H_gamma,-0.6635542595073984,0.0,-0.3987733082521735,1.9389418632644996e-166,14M
Spotted seatrout,H_GiniSimpson,-0.6560581820154228,0.0,-0.36143164958036517,6.365666161107115e-135,14M
Spotted seatrout,RAOQ,-0.6485708976151869,0.0,-0.39755289287626905,2.420233827066208e-165,14M
Spotted seatrout,AGI,-0.06418259817724493,2.1854927011436104e-05,-0.06026000128571232,6.744708486040419e-05,14M
Spotted seatrout,nROI,-0.2918655405195829,1.605688407571431e-86,-0.2856851688678286,8.070938165769307e-83,14M
Spotted seatrout,aROI,-0.26808929472326376,8.71851923333497e-73,-0.26495185374891655,4.490497409810598e-71,14M
Atlantic croaker,File,0.011979879758419687,0.42861600189933524,0.010224582654472151,0.49931015395110956,14M
Atlantic croaker,Black drum,0.03025710961741448,0.04554310253034261,0.05002207508977079,0.0009425868296753008,14M
Atlantic croaker,Bottlenose dolphin burst pulses,-0.01010051150654569,0.5045311498490342,0.004983531672047799,0.7419488937817136,14M
Atlantic croaker,Bottlenose dolphin whistles,0.029696627486438174,0.04969891328051068,0.05947508859497436,8.385183959334374e-05,14M
Atlantic croaker,ZCR,0.12016352652723687,1.6084198039688774e-15,0.13260841234949663,1.3610544627743612e-18,14M
Atlantic croaker,MEANt,0.012303249456331539,0.41625807219580496,0.007731220520132051,0.6094740919978212,14M
Atlantic croaker,VARt,-0.019466037558633267,0.1983451672160307,0.045299679965906725,0.002748279055763011,14M
